	Sex	Age
1	1	46
2	2	48
3	1	62
4	1	53
5	2	50
6	1	52
7	2	38
8	1	35
9	1	62
10	1	44
11	2	41
12	2	31
13	2	53
14	2	42
15	1	33
16	2	55
17	1	35
18	1	54
19	1	50
20	1	59
21	1	38
22	2	36
23	2	44
24	1	54
25	1	50
26	2	45
27	2	48
28	2	45
29	1	45
30	2	41
31	1	43
32	1	44
33	2	47
34	2	35
35	1	40
36	1	45
37	1	58
38	2	40
39	1	51
40	1	54
41	1	44
42	2	56
43	2	32
44	1	62
45	2	62
46	2	41
47	1	67
48	2	42
49	2	48
50	2	39
51	1	55
52	2	61
53	1	61
54	2	46
55	1	64
56	1	64
57	1	32
58	1	45
59	1	30
60	2	58
61	2	42
62	2	44
63	1	48
64	2	70
65	1	64
66	2	60
67	2	36
68	2	36
69	1	34
70	2	43
71	2	44
72	1	50
73	2	38
74	2	42
75	1	38
76	2	38
77	2	37
78	1	52
79	2	47
80	1	48
81	1	43
