	Sex	Age	WB	BB	Edu	Health
E-1	2	3	2	3	2	6
E-2	1	1	4	4	2	9
E-3	1	1	4	4	4	7
E-4	1	3	4	5	3	9
E-5	1	3	2	4	3	4
E-6	1	2	5	5	3	9
E-7	2	2	1	5	2	7
E-8	1	3	2	2	3	7
E-9	2	3	2	3	3	6
E-10	1	1	2	2	2	5
E-11	1	3	4	2	4	9
E-12	2	3	1	5	4	6
E-13	1	2	4	2	3	5
E-14	1	1	4	5	3	6
E-15	1	4	4	5	3	9
E-16	1	1	4	5	3	6
E-17	2	3	3	3	4	7
E-18	1	2	1	1	2	8
E-19	1	1	1	1	2	6
E-20	1	2	1	2	3	9
E-21	2	4	4	5	3	9
E-22	1	4	4	3	2	6
E-23	1	2	2	1	2	9
E-24	1	5	3	4	2	5
E-25	2	1	1	2	2	5
E-26	1	3	2	3	2	7
E-27	2	2	3	3	2	6
E-28	1	1	2	3	3	6
E-29	2	2	4	4	3	6
E-30	1	1	4	4	4	5
E-31	1	4	4	5	3	9
E-32	1	4	4	1	4	9
E-33	1	3	5	4	2	5
E-34	1	5	5	1	3	9
E-35	1	2	2	5	2	7
E-36	1	4	5	3	3	9
E-37	1	2	3	3	4	7
E-38	1	4	4	5	3	9
E-39	1	2	2	3	4	7
E-40	1	2	5	3	3	7
E-41	1	2	4	4	3	9
E-42	1	3	3	3	4	6
E-43	1	2	4	5	3	7
E-44	1	2	1	5	3	3
E-45	2	3	1	4	2	2
E-46	1	2	1	2	1	9
E-47	1	1	2	3	2	6
E-48	1	2	4	5	2	5
E-49	1	1	2	2	3	9
E-50	1	3	2	2	4	8
E-51	2	2	3	5	3	6
E-52	2	3	2	3	2	8
E-53	1	1	4	5	2	7
E-54	1	2	3	4	3	9
E-55	1	2	3	2	3	8
E-56	1	3	4	4	3	5
E-57	1	3	4	1	3	6
E-58	1	3	2	5	3	9
E-59	1	3	4	1	3	9
E-60	1	1	3	4	1	5
E-61	1	1	3	5	1	5
E-62	1	4	4	5	3	8
E-63	1	3	5	5	2	5
E-64	2	3	4	1	3	7
E-65	1	3	4	4	3	5
E-66	1	1	4	5	2	8
E-67	1	3	2	4	4	4
E-68	1	2	4	5	3	9
E-69	1	5	2	4	4	6
E-70	1	2	4	5	5	4
E-71	1	2	2	4	3	9
E-72	1	3	5	3	2	9
E-73	2	2	2	5	2	5
E-74	2	3	4	4	4	5
E-75	2	3	1	5	2	5
E-76	1	2	3	3	3	5
E-77	1	2	1	5	3	9
E-78	1	3	5	4	3	9
E-79	2	4	4	5	3	8
E-80	1	4	2	4	3	7
E-81	1	3	4	3	4	8
E-82	1	2	4	4	2	9
E-83	1	1	4	2	4	7
E-84	2	4	5	5	2	9
E-85	2	2	2	3	3	5
E-86	1	1	1	2	4	9
E-87	2	1	3	3	2	7
E-88	1	4	4	4	3	9
E-89	1	2	5	5	3	9
E-90	1	4	5	2	4	5
E-91	2	1	2	4	1	5
E-92	2	5	4	2	2	7
E-93	2	2	5	5	3	9
E-94	1	4	5	1	3	9
E-95	1	2	4	3	3	9
E-96	1	3	5	5	3	9
E-97	1	3	5	5	3	9
E-98	1	2	5	5	3	9
E-99	1	3	4	2	2	9
E-100	1	5	1	3	1	5
E-101	1	4	4	5	3	9
E-102	1	3	4	2	3	9
E-103	1	3	5	3	3	3
E-104	1	3	3	3	3	8
E-105	1	2	1	2	3	8
E-106	1	2	5	4	4	8
E-107	1	1	1	3	2	9
E-108	1	4	2	2	3	9
E-109	2	1	2	1	3	8
E-110	2	1	2	4	4	3
E-111	2	1	2	2	3	6
E-112	1	1	4	3	3	9
E-113	1	3	2	4	4	7
E-114	1	3	1	2	3	9
E-115	1	2	3	4	3	9
E-116	1	1	4	3	4	5
E-117	1	1	4	4	3	8
E-118	2	1	1	5	2	4
