	Sex	Age	WB	BB	Edu	Health
1	2	3	2	3	2	6
2	1	1	4	4	2	9
3	1	1	4	4	4	7
4	1	3	4	5	3	9
5	1	3	2	4	3	4
6	1	2	5	5	3	9
7	2	2	1	5	2	7
8	1	3	2	2	3	7
9	2	3	2	3	3	6
10	1	1	2	2	2	5
11	1	3	4	2	4	9
12	2	3	1	5	4	6
13	1	2	4	2	3	5
14	1	1	4	5	3	6
15	1	4	4	5	3	9
16	1	1	4	5	3	6
17	2	3	3	3	4	7
18	1	2	1	1	2	8
19	1	1	1	1	2	6
20	1	2	1	2	3	9
21	2	4	4	5	3	9
22	1	4	4	3	2	6
23	1	2	2	1	2	9
24	1	5	3	4	2	5
25	2	1	1	2	2	5
26	1	3	2	3	2	7
27	2	2	3	3	2	6
28	1	1	2	3	3	6
29	2	2	4	4	3	6
30	1	1	4	4	4	5
31	1	4	4	5	3	9
32	1	4	4	1	4	9
33	1	3	5	4	2	5
34	1	5	5	1	3	9
35	1	2	2	5	2	7
36	1	4	5	3	3	9
37	1	2	3	3	4	7
38	1	4	4	5	3	9
39	1	2	2	3	4	7
40	1	2	5	3	3	7
41	1	2	4	4	3	9
42	1	3	3	3	4	6
43	1	2	4	5	3	7
44	1	2	1	5	3	3
45	2	3	1	4	2	2
46	1	2	1	2	1	9
47	1	1	2	3	2	6
48	1	2	4	5	2	5
49	1	1	2	2	3	9
50	1	3	2	2	4	8
51	2	2	3	5	3	6
52	2	3	2	3	2	8
53	1	1	4	5	2	7
54	1	2	3	4	3	9
55	1	2	3	2	3	8
56	1	3	4	4	3	5
57	1	3	4	1	3	6
58	1	3	2	5	3	9
59	1	3	4	1	3	9
60	1	1	3	4	1	5
61	1	1	3	5	1	5
62	1	4	4	5	3	8
63	1	3	5	5	2	5
64	2	3	4	1	3	7
65	1	3	4	4	3	5
66	1	1	4	5	2	8
67	1	3	2	4	4	4
68	1	2	4	5	3	9
69	1	5	2	4	4	6
70	1	2	4	5	5	4
71	1	2	2	4	3	9
72	1	3	5	3	2	9
73	2	2	2	5	2	5
74	2	3	4	4	4	5
75	2	3	1	5	2	5
76	1	2	3	3	3	5
77	1	2	1	5	3	9
78	1	3	5	4	3	9
79	2	4	4	5	3	8
80	1	4	2	4	3	7
81	1	3	4	3	4	8
82	1	2	4	4	2	9
83	1	1	4	2	4	7
84	2	4	5	5	2	9
85	2	2	2	3	3	5
86	1	1	1	2	4	9
87	2	1	3	3	2	7
88	1	4	4	4	3	9
89	1	2	5	5	3	9
90	1	4	5	2	4	5
91	2	1	2	4	1	5
92	2	5	4	2	2	7
93	2	2	5	5	3	9
94	1	4	5	1	3	9
95	1	2	4	3	3	9
96	1	3	5	5	3	9
97	1	3	5	5	3	9
98	1	2	5	5	3	9
99	1	3	4	2	2	9
100	1	5	1	3	1	5
101	1	4	4	5	3	9
102	1	3	4	2	3	9
103	1	3	5	3	3	3
104	1	3	3	3	3	8
105	1	2	1	2	3	8
106	1	2	5	4	4	8
107	1	1	1	3	2	9
108	1	4	2	2	3	9
109	2	1	2	1	3	8
110	2	1	2	4	4	3
111	2	1	2	2	3	6
112	1	1	4	3	3	9
113	1	3	2	4	4	7
114	1	3	1	2	3	9
115	1	2	3	4	3	9
116	1	1	4	3	4	5
117	1	1	4	4	3	8
118	2	1	1	5	2	4
