	Sex	Age
1	1	15
2	1	16
3	1	17
4	1	15
5	1	16
6	1	16
7	1	16
8	1	16
9	1	17
10	1	17
11	1	16
12	1	16
13	1	16
14	1	16
15	1	15
16	1	46
17	2	15
18	2	16
19	1	15
20	2	15
21	2	15
22	2	20
23	2	29
24	2	19
25	2	27
26	2	26
27	1	19
28	2	29
29	2	19
30	2	23
31	2	21
32	2	21
33	1	22
34	1	20
35	1	21
36	1	23
37	1	20
38	1	20
39	1	41
40	1	40
41	2	44
42	2	30
43	2	31
44	2	30
45	2	32
46	2	30
47	1	48
48	2	47
49	2	44
50	2	16
51	2	52
52	2	21
53	2	57
54	2	49
55	1	43
56	2	18
57	2	19
58	1	18
59	2	23
60	1	49
61	1	41
62	2	16
63	2	42
64	1	44
65	2	15
66	1	54
67	1	44
68	2	21
69	2	24
70	2	49
71	1	53
72	1	52
73	2	15
74	1	44
75	2	52
76	1	42
77	1	46
78	1	33
79	2	42
80	2	43
81	2	51
82	1	51
83	2	17
84	1	15
85	1	15
86	1	43
87	2	15
88	2	33
89	1	29
90	2	32
91	2	25
92	2	31
93	2	23
94	1	48
95	2	50
96	1	55
97	1	56
98	2	35
99	2	41
100	2	37
101	1	43
102	1	51
103	1	34
104	1	30
105	1	38
106	2	36
107	1	40
108	2	15
109	2	48
110	1	41
111	1	59
112	1	35
113	2	16
114	1	52
115	2	42
116	2	15
117	1	47
118	2	15
119	1	66
120	1	38
121	1	40
122	2	71
123	1	42
124	1	42
125	2	55
126	2	38
127	2	42
128	1	43
129	2	15
130	1	51
131	2	55
132	1	39
133	1	49
134	1	38
135	1	41
136	2	19
137	2	20
138	2	18
139	2	37
140	2	42
141	1	43
142	2	28
143	1	33
144	1	44
145	1	27
146	2	35
147	2	24
148	1	31
149	2	29
150	1	53
151	2	53
152	2	29
153	1	23
154	1	24
155	1	20
156	2	29
157	2	25
158	1	28
159	1	51
160	2	55
161	1	42
162	1	50
