Samples	Jevnhet	Intlukt	Syrllukt	Kryddlukt	Royklukt	Hvithet	Fargetone	Fargstyrk	Intsmak	Kjottsmak	Syrlsmak	Saltsmak	Sotsmak	Bittsmak	Metsmak	Kryddsmak	Royksmak	Hardhet	Hardhinne	Saftighet	Fethet	Klebrig	Kornethet
Sort 1	7.48	6.44	4.95	4.38	5.33	4.54	6.16	5.74	6.44	5.07	4.86	4.29	2.92	2.99	3.27	4.34	5.06	4.53	4.93	4.96	4.44	2.7	4.29
Sort 2	7.4	6.08	4.49	3.96	5.08	4.5	6.31	5.59	6.42	4.49	4.14	4.59	3.09	3.26	3.37	4.39	4.83	4.63	5.15	4.91	4.42	2.85	4.66
Sort 3	7.36	6.82	4.31	5.58	4.99	4.69	5.89	5.46	6.84	3.95	3.85	6.2	3.12	3.58	3.25	5.94	4.91	3.49	3.71	5.23	5.55	3.76	4.12
Sort 4	7.11	6.78	3.89	5.81	5.03	4.54	6.01	5.43	7.09	3.57	3.31	6.07	3.08	3.61	3.17	6.2	4.84	3.34	3.79	6.14	5.94	3.79	4.18
Sort 5	7.04	6.61	4.53	5.34	4.57	5.18	4.99	4.57	7.09	3.56	3.81	6.24	3.21	3.48	3.08	6.2	4.39	3.31	3.63	6.01	5.59	3.97	4.22
Sort 6	7.4	5.94	4.28	3.58	4.39	5.27	4.98	4.6	6.37	3.2	3.33	4.32	3.16	2.9	2.86	3.73	4.23	3.22	3.6	6.03	6.43	3.89	3.73
Sort 7	7.23	6.02	3.39	4.25	4.58	5.13	5.07	4.63	6.5	2.62	2.36	4.88	2.86	3.17	3.09	3.89	4.13	3.33	3.78	5.51	6.28	4.12	3.86
Sort 8	7.21	6.6	4.92	5.15	5.02	4.74	5.53	5.14	6.93	3.96	4.19	5.81	3.08	3.54	3.21	5.78	4.87	3.28	3.69	5.81	5.66	3.69	3.86
Sort 9	7.36	6.46	4.75	4.43	5.58	4.31	6.48	5.9	6.5	5.02	4.79	4.66	2.99	3.38	3.56	4.67	5.46	4.63	4.94	4.86	4.49	2.72	4.42
Sort 10	7.36	6.36	4.54	4.24	5.19	4.47	6.07	5.56	6.52	4.44	4.28	4.65	3.03	3.41	3.32	4.36	5.09	4.57	4.91	5.12	4.59	2.89	4.39
Sort 11	7.22	6.67	4.66	5.39	4.73	4.78	5.76	5.28	6.74	3.99	4.08	5.58	3.28	3.37	3.21	5.66	4.56	3.68	4.05	5.67	5.34	3.56	4.19
Sort 12	7.3	6.17	3.79	4.36	5.12	4.81	5.56	5.02	6.27	3.21	2.98	4.68	2.97	3.32	3.01	4.34	4.64	3.33	3.63	5.55	5.88	4.2	4
Sort 13	7.44	6.05	3.76	4.19	4.74	4.92	5.37	4.91	6.41	2.92	2.84	4.68	3.01	3.29	3.11	4.06	4.45	3.21	3.66	5.43	6.13	4.05	3.94
Sort 14	7.56	6.81	4.73	5.31	5.05	4.38	6.17	5.88	6.85	4.53	4.33	5.74	2.93	3.51	3.12	5.83	5.09	3.85	4.18	5.29	5.02	3.41	4.32
Sort 15	7.13	6.5	4.43	4.32	5.66	4.36	6.22	5.78	6.64	4.73	4.54	4.62	2.89	3.39	3.41	4.73	5.62	4.86	5.37	4.65	4.36	2.73	4.68
Sort 16	7.36	6.19	4.18	4.16	5.24	4.36	6.27	5.73	6.52	4.36	3.91	4.41	2.97	3.27	3.44	4.09	5.04	4.69	5.18	5.04	4.58	2.68	4.46
Sort 17	6.92	6.83	4.88	4.88	4.83	4.67	5.61	5.09	6.96	3.98	4.09	5.94	3.14	3.62	3.06	5.53	4.68	3.98	4.56	5.29	5.15	3.31	4.39
Sort 18	7.33	5.86	3.84	3.78	4.49	4.99	5.41	4.78	6.44	3.3	3.23	4.39	2.84	3.1	3.13	3.73	4.04	3.23	3.68	5.99	6.33	3.89	3.74
Sort 19	7.17	6.12	3.63	4.19	5	4.89	5.42	4.93	6.4	3.22	3.17	5.21	2.89	3.06	3.18	4.44	4.58	3.2	3.6	5.87	6.29	4.16	3.86
