	Kjonn	Utdanning	Husholdning	Vinkjop frekv	Emballasje	Hvor kjopes vin	Hvor ofte drikkes hvitvin	Viktig med lavsyre
1	2	3	2	2	1	1	4	1
2	2	3	4	1	1	1	1	3
3	1	3	2	3	3	2	3	4
4	2	3	4	3	1	2	3	4
5	1	3	2	3	3	1	2	3
6	1	3	4	2	1	1	3	2
7	1	3	3	2	1	1	2	3
8	1	3	2	2	1	1	3	4
9	2	2	2	2	2	1	4	2
10	1	2	3	3	1	3	4	4
11	2	3	4	3	3	1	4	3
12	2	3	3	1	1	3	3	2
13	2	3	2	3	1	2	3	2
14	1	3	3	3	2	1	1	4
15	1	3	3	3	2	1	4	3
16	1	3	2	1	1	1	5	3
17	2	3	3	4	1	1	2	1
18	1	3	3	2	1	1	3	1
19	2	3	2	2	1	1	4	4
20	1	2	3	1	1	1	5	1
21	1	2	2	1	2	3	5	6
22	2	3	2	2	3	1	3	4
23	2	3	3	3	1	1	2	4
24	1	3	3	3	1	1	2	4
25	2	2	1	2	1	1	4	4
26	2	3	2	2	1	3	2	3
27	1	2	2	2	3	3	2	4
28	1	3	2	3	3	1	3	4
29	1	2	2	1	3	1	4	1
30	1	2	2	3	3	2	3	4
31	1	3	3	2	2	1	2	2
32	1	3	2	3	1	2	2	4
33	1	2	3	2	3	1	3	2
34	1	2	4	3	3	1	2	3
35	2	3	4	3	1	1	3	2
36	1	3	3	3	1	1	3	2
37	2	3	3	4	2	2	2	2
38	1	3	3	3	1	1	3	3
39	2	2	4	4	1	3	2	2
40	1	3	3	4	1	1	2	4
41	2	2	2	1	3	1	3	3
42	2	3	1	1	1	1	3	3
43	2	3	2	2	1	1	4	1
44	1	3	3	1	1	1	1	3
45	1	3	3	3	3	3	3	3
46	2	2	2	2	3	1	4	2
47	1	3	2	4	1	1	1	4
48	2	2	3	4	3	1	3	4
49	1	2	3	4	1	1	2	4
50	1	3	2	4	1	1	3	3
51	1	2	2	3	1	1	2	4
52	1	3	3	3	2	1	3	3
53	2	3	2	1	1	1	2	4
54	1	2	2	2	3	1	2	1
55	1	2	2	3	3	1	3	3
56	2	3	3	3	3	3	3	3
57	1	3	2	2	1	1	3	3
58	2	3	3	2	1	1	4	1
59	2	2	4	2	2	1	3	4
60	2	3	1	4	1	3	2	4
61	2	3	4	2	1	1	4	2
62	1	2	3	3	1	1	2	3
63	2	3	4	3	3	1	2	4
64	1	3	3	1	1	1	4	2
65	2	3	2	2	3	1	3	3
66	2	2	2	1	1	1	3	1
67	1	2	2	3	1	1	2	4
68	1	3	3	2	1	1	3	1
69	1	2	2	3	3	1	2	1
70	1	3	3	2	1	1	2	1
71	2	3	4	2	3	1	3	3
72	1	3	3	2	3	1	3	3
73	1	3	2	3	1	1	3	5
74	2	3	3	2	3	2	4	3
75	2	2	1	1	3	1	4	4
76	1	3	2	2	2	1	2	3
77	2	3	2	3	2	1	5	4
78	2	2	3	4	3	1	2	2
79	2	3	2	3	1	1	3	3
80	1	3	3	2	3	1	3	3
81	1	3	3	1	1	1	4	1
82	2	2	4	4	1	1	1	3
83	2	3	4	2	1	3	3	3
84	2	3	1	3	1	1	2	2
85	1	3	3	3	2	1	2	4
86	1	3	3	4	1	1	2	5
87	1	3	4	3	1	2	2	3
88	1	3	3	3	1	2	3	3
89	1	3	2	2	1	1	3	3
90	1	3	2	3	1	3	3	4
91	2	3	3	3	1	1	3	3
92	1	3	4	1	1	1	5	1
93	1	2	2	3	2	3	3	2
94	1	2	4	3	1	1	2	4
95	2	2	2	1	3	1	3	4
96	2	3	2	1	1	1	5	5
97	1	3	4	3	1	1	4	1
98	2	3	2	2	3	1	3	1
99	1	3	3	2	1	1	4	1
100	1	2	2	1	1	1	3	2
101	1	3	3	1	1	1	2	3
102	2	3	4	1	1	1	4	3
103	1	3	3	2	1	1	3	3
104	2	2	2	2	1	1	3	1
105	2	3	3	3	2	3	4	4
106	2	2	2	2	2	1	3	5
107	1	3	3	2	1	1	3	5
108	2	3	4	4	1	1	3	4
109	2	3	2	1	3	1	4	4
110	2	2	3	3	2	3	2	2
111	1	3	3	3	1	1	3	3
112	1	3	2	1	3	1	4	4
113	2	3	2	1	3	1	3	4
114	1	3	2	2	1	1	3	3
115	2	3	3	2	1	1	4	1
116	1	3	4	2	1	2	2	4
117	1	3	3	2	1	1	3	2
118	2	3	3	1	1	1	3	3
119	1	3	3	4	1	1	2	3
120	2	2	1	3	3	1	3	4
121	2	3	3	2	2	1	2	4
122	1	2	3	2	1	1	3	3
123	2	2	1	1	3	1	4	1
124	2	2	3	3	1	1	3	3
125	1	3	2	4	2	3	2	3
126	1	3	3	4	1	1	2	2
127	2	2	1	3	1	1	2	4
128	1	3	3	3	1	1	3	3
129	2	2	3	2	3	1	2	3
130	2	3	3	3	3	1	3	3
131	1	3	2	2	2	1	3	4
132	2	3	2	3	1	2	3	4
133	2	3	2	1	1	1	3	4
134	2	3	2	3	3	1	3	4
135	1	3	4	4	1	2	3	6
136	2	2	2	1	2	1	3	3
137	2	3	3	3	1	2	3	2
138	1	3	2	3	1	1	2	3
139	1	1	3	3	1	1	2	4
140	1	2	3	2	1	1	2	4
141	1	2	3	2	2	1	2	5
142	2	3	2	3	1	3	2	6
143	1	3	2	4	1	4	4	3
144	2	3	4	3	1	2	2	2
145	1	3	3	3	3	1	2	0
146	2	2	2	1	2	1	4	3
147	1	3	4	2	1	2	3	3
148	1	2	3	2	1	1	4	3
149	1	2	4	2	1	1	3	2
150	1	3	2	1	1	1	4	2
151	1	3	3	1	1	1	3	2
152	1	3	3	2	1	1	2	2
153	2	2	2	4	1	4	3	3
154	1	2	4	4	1	1	2	4
155	2	3	1	2	3	1	3	3
156	1	3	4	2	1	1	2	3
