consumer	gender
1	male
2	female
3	female
4	female
5	male
6	male
7	male
8	female
9	male
10	male
11	male
12	male
13	male
14	female
15	female
16	female
17	female
18	male
19	female
20	female
21	male
22	female
23	male
24	female
25	female
26	male
27	female
28	male
29	male
30	female
31	female
32	male
33	female
34	female
35	female
36	male
37	female
38	male
39	female
40	male
41	female
42	female
43	male
44	female
45	female
46	female
47	male
48	male
49	female
50	female
51	male
52	male
53	male
54	female
55	male
56	male
57	male
58	female
59	female
60	female
61	female
62	female
63	female
64	female
65	male
66	female
67	female
68	female
69	male
70	male
71	male
72	male
73	female
74	male
75	female
76	male
77	male
78	male
79	female
80	female
81	male
82	male
83	female
84	female
85	male
86	male
87	male
88	female
89	male
90	male
91	male
92	male
93	female
94	male
95	female
96	female
97	male
98	male
99	female
100	female
