KIDEN	AGITA1	AGITA2	AGITA3	AGITA4	AGITA5	AGITA6	AGITA7	AGITA8	AGITA9	AGITA10
2EL	3.41	3.31	2.88	2.32	1.84	2.00	1.65	3.26	2.96	3.20
1CHA	3.37	3.00	2.56	2.44	1.74	2.00	1.38	2.96	2.81	2.93
1FON	3.25	2.93	2.77	2.19	2.25	1.75	1.25	3.08	2.80	3.08
1VAU	3.16	2.88	2.39	2.08	2.17	2.30	1.48	2.54	2.58	2.48
1DAM	3.54	3.36	3.16	2.23	2.15	1.76	1.60	3.62	3.30	3.46
2BOU	3.18	3.38	2.80	2.24	2.15	1.75	1.48	3.21	3.15	3.32
1BOI	3.43	3.50	3.04	2.20	2.38	1.83	1.48	3.25	3.22	3.38
3EL	3.65	3.08	2.52	2.32	2.44	2.08	1.90	3.28	3.16	2.96
DOM1	3.36	3.35	3.00	2.04	2.13	1.88	1.52	3.15	2.89	3.31
1TUR	3.22	3.26	2.93	2.04	2.04	2.00	1.77	3.08	2.70	2.78
4EL	3.61	3.38	2.89	2.12	2.16	1.96	1.57	3.29	3.04	3.22
PER1	3.48	3.38	2.96	2.00	2.20	2.04	1.54	3.32	3.07	3.14
2DAM	3.48	3.42	2.96	2.27	2.15	1.96	1.57	3.48	3.26	3.27
1POY	3.36	3.44	2.88	2.12	2.35	1.83	1.55	3.27	3.08	3.19
1ING	3.36	3.37	2.85	2.24	2.28	1.75	1.52	3.33	3.04	3.37
1BEN	3.29	3.31	3.12	2.27	2.00	1.92	1.40	3.04	2.96	3.20
2BEA	3.44	3.50	3.18	2.16	2.24	1.91	1.75	3.52	3.30	3.46
1ROC	3.37	3.36	2.96	2.31	1.92	2.00	1.43	3.25	2.92	2.88
2ING	2.89	2.80	2.50	1.96	2.11	2.08	1.32	2.68	2.31	2.56
T1	3.74	3.08	2.83	1.77	2.44	2.29	1.57	3.44	2.96	2.60
T2	3.73	2.88	2.60	2.08	2.61	2.17	1.65	3.10	3.14	2.55
