KIDEN	GUSTA1	GUSTA2	GUSTA3	GUSTA4	GUSTA5	GUSTA6	GUSTA7	GUSTA8	GUSTA9
2EL	2.96	2.11	2.43	2.50	3.25	2.73	1.93	2.86	3.14
1CHA	3.04	2.11	2.18	2.65	2.93	2.50	1.93	2.89	2.96
1FON	3.22	2.18	2.25	2.64	3.32	2.68	2.00	3.07	3.14
1VAU	2.70	3.18	2.18	2.50	2.33	1.68	1.96	2.46	2.04
1DAM	3.46	2.57	2.54	2.79	3.46	3.04	2.07	3.64	3.64
2BOU	3.29	2.39	2.64	2.86	3.29	2.86	2.18	3.46	3.50
1BOI	3.39	2.61	2.61	2.78	3.46	2.86	1.93	3.64	3.56
3EL	3.25	2.18	2.63	2.78	3.18	2.79	2.00	3.32	3.30
DOM1	3.29	2.29	2.41	2.74	3.14	2.82	1.96	3.15	3.29
1TUR	2.89	2.36	2.25	2.70	3.21	2.50	2.18	2.86	2.96
4EL	3.32	2.43	2.57	2.89	3.19	2.86	2.21	3.36	3.07
PER1	3.36	2.43	2.61	2.82	3.11	2.89	2.04	3.25	3.39
2DAM	3.39	2.29	2.50	2.82	3.50	3.29	2.00	3.41	3.64
1POY	3.52	2.11	2.54	2.78	3.44	3.23	2.07	3.67	3.79
1ING	3.18	2.29	2.64	2.93	3.29	2.82	2.11	3.32	3.30
1BEN	3.39	2.39	2.36	2.70	3.32	3.00	2.00	3.21	3.21
2BEA	3.07	2.57	2.32	2.93	3.33	2.82	2.14	3.32	3.25
1ROC	3.07	2.39	2.32	2.82	3.14	2.61	2.14	3.04	3.07
2ING	2.18	2.25	1.96	2.25	2.46	1.82	1.68	2.18	2.11
T1	2.96	2.41	2.64	2.96	2.57	2.07	2.22	3.04	2.74
T2	3.33	2.57	2.67	2.70	2.77	2.31	2.67	3.33	3.00
