	136496	142727	133E26	0AB128	0AB12C	0AB177	0AB1CE	0AB1CF	0AB1FE	0AB226	0AB246	0AB25D	0AA6B4	0AA6B9	0AA6BC	0AA6C3	0AA6D6	0AA6DA	0AA6E7	0AA74F	0AA75F	0AA770	0AA785	0AA78C	0AA791	0AA7A0	0AA7AC	0AA7B6	0AABA7	0AAC35	135EA2	13B8F5	172D93	178FF8	1A4D7E	1A935A
S1	2	2	4	1	2	2	1	2	3	2	2	1	1	4	2	3	2	4	2	3	3	2	4	3	1	3	3	1	3	5	4	2	1	3	3	3
S2	3	4	5	6	3	3	4	4	5	5	4	5	3	5	3	5	5	5	4	4	3	4	2	6	2	4	6	3	5	5	5	3	4	4	5	5
S3	2	2	2	2	1	4	3	5	4	2	1	1	3	4	3	2	1	4	2	3	2	3	1	1	4	2	2	4	1	3	3	2	2	4	4	3
S4	3	1	3	3	2	1	2	2	2	3	2	3	1	2	3	2	3	2	1	4	3	3	4	3	2	4	2	2	3	2	2	2	3	5	4	4
S5	2	5	3	4	3	5	2	4	2	3	3	2	4	3	3	2	3	3	4	2	3	3	2	6	4	3	3	4	2	4	4	4	5	4	3	4
S6	2	1	5	1	4	3	2	3	5	3	2	4	2	4	1	4	2	2	4	4	3	3	5	4	2	3	1	3	4	4	3	2	1	1	3	1
S7	4	5	3	5	2	4	4	4	6	5	3	6	3	4	4	3	3	2	3	3	4	3	2	6	5	4	3	2	2	5	3	6	6	5	3	6
S8	2	2	4	3	3	5	2	2	2	4	2	2	4	3	3	2	1	3	2	2	3	1	4	4	2	2	5	2	3	2	2	2	1	2	2	1
S9	3	6	3	2	6	2	4	5	3	5	5	5	5	3	4	4	3	3	2	5	3	4	3	6	6	3	3	4	2	3	4	5	5	6	3	3
S10	1	1	1	4	1	1	1	2	1	1	1	1	1	1	1	4	1	3	2	3	4	1	2	1	1	2	1	2	1	2	2	3	3	1	2	3
S11	1	1	4	2	3	2	2	1	2	3	3	3	2	1	1	2	1	2	1	3	2	2	5	1	2	1	2	1	4	3	2	1	4	1	2	1
S12	3	2	2	2	3	2	2	2	3	3	2	1	3	2	3	2	3	2	1	2	2	1	3	1	2	2	1	2	2	2	3	3	2	2	2	4
S13	2	2	2	3	2	2	1	2	2	2	2	2	1	4	2	3	2	2	2	3	4	2	3	2	2	2	2	3	3	4	3	3	2	2	3	3
S14	4	6	4	2	4	4	1	3	1	3	1	2	3	4	3	1	2	3	5	3	3	4	1	6	5	2	2	5	2	5	3	4	6	5	4	4
S15	5	2	5	2	2	2	2	2	5	4	5	4	4	5	2	4	3	4	4	4	3	3	5	3	1	3	5	3	5	4	3	2	3	3	4	3
S16	2	5	2	4	2	3	1	3	1	5	4	4	2	1	2	2	4	2	1	3	4	4	4	5	4	2	1	2	2	2	2	5	5	5	3	1
S17	3	1	3	2	2	3	2	2	4	4	3	3	2	2	2	3	2	3	4	3	3	4	4	2	2	3	1	2	2	4	3	3	5	2	3	4
S18	2	2	2	3	2	2	1	3	3	2	2	1	3	1	3	3	1	1	2	1	2	2	3	2	2	1	1	2	2	2	2	3	2	3	2	1
S19	2	1	3	2	2	3	2	2	3	3	3	1	3	2	2	3	1	1	2	2	2	2	4	3	2	2	2	1	3	3	2	3	4	3	3	2
S20	2	3	1	4	3	3	1	6	5	5	3	3	4	5	3	2	1	3	2	2	2	3	6	5	5	3	3	5	3	3	2	4	5	4	1	3
S21	2	4	3	3	1	3	1	1	4	3	4	2	2	3	2	4	2	2	3	3	4	2	3	1	2	3	4	4	2	3	3	3	5	3	3	5
