Ost	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21
136496	2	3	2	3	2	2	4	2	3	1	1	3	2	4	5	2	3	2	2	2	2
142727	2	4	2	1	5	1	5	2	6	1	1	2	2	6	2	5	1	2	1	3	4
133E26	4	5	2	3	3	5	3	4	3	1	4	2	2	4	5	2	3	2	3	1	3
0AB128	1	6	2	3	4	1	5	3	2	4	2	2	3	2	2	4	2	3	2	4	3
0AB12C	2	3	1	2	3	4	2	3	6	1	3	3	2	4	2	2	2	2	2	3	1
0AB177	2	3	4	1	5	3	4	5	2	1	2	2	2	4	2	3	3	2	3	3	3
0AB1CE	1	4	3	2	2	2	4	2	4	1	2	2	1	1	2	1	2	1	2	1	1
0AB1CF	2	4	5	2	4	3	4	2	5	2	1	2	2	3	2	3	2	3	2	6	1
0AB1FE	3	5	4	2	2	5	6	2	3	1	2	3	2	1	5	1	4	3	3	5	4
0AB226	2	5	2	3	3	3	5	4	5	1	3	3	2	3	4	5	4	2	3	5	3
0AB246	2	4	1	2	3	2	3	2	5	1	3	2	2	1	5	4	3	2	3	3	4
0AB25D	1	5	1	3	2	4	6	2	5	1	3	1	2	2	4	4	3	1	1	3	2
0AA6B4	1	3	3	1	4	2	3	4	5	1	2	3	1	3.181658	4	2	2	3	3	4	2
0AA6B9	4	5	4	2	3	4	4	3	3	1	1	2	4	4	5	1	2	1	2	5	3
0AA6BC	2	3	3	3	3	1	4	3	4	1	1	3	2	3	2	2	2	3	2	3	2
0AA6C3	3	5	2	2	2	4	3	2	4	4	2	2	3	1	4	2	3	3	3	2	4
0AA6D6	2	5	1	3	3	2	3	1	3	1	1	3	2	2	3	4	2	1	1	1	2
0AA6DA	4	5	4	2	3	2	2	3	3	3	2	2	2	3	4	2	3	1	1	3	2
0AA6E7	2	4	2	1	4	4	3	2	2	2	1	1	2	5	4	1	4	2	2	2	3
0AA74F	3	4	3	4	2	4	3	2	5	3	3	2	3	3	4	3	3	1	2	2	3
0AA75F	3	3	2	3	3	3	4	3	3	4	2	2	4	3	3	4	3	2	2	2	4
0AA770	2	4	3	3	3	3	3	1	4	1	2	1	2	4	3	4	4	2	2	3	2
0AA785	4	2	1	4	2	5	2	4	3	2	5	3	3	1	5	4	4	3	4	6	3
0AA78C	3	6	1	3	6	4	6	4	6	1	1	1	2	6	3	5	2	2	3	5	1
0AA791	1	2	4	2	4	2	5	2	6	1	2	2	2	5	1	4	2	2	2	5	2
0AA7A0	3	4	2	4	3	3	4	2	3	2	1	2	2	2	3	2	3	1	2	3	3
0AA7AC	3	6	2	2	3	1	3	5	3	1	2	1	2	2	5	1	1	1	2	3	4
0AA7B6	1	3	4	2	4	3	2	2	4	2	1	2	3	5	3	2	2	2	1	5	4
0AABA7	3	5	1	3	2	4	2	3	2	1	4	2	3	2	5	2	2	2	3	3	2
0AAC35	5	5	3	2	4	4	5	2	3	2	3	2	4	5	4	2	4	2	3	3	3
135EA2	4	5	3	2	4	3	3	2	4	2	2	3	3	3	3	2	3	2	2	2	3
13B8F5	2	3	2	2	4	2	6	2	5	3	1	3	3	4	2	5	3	3	3	4	3
172D93	1	4	2	3	5	1	6	1	5	3	4	2	2	6	3	5	5	2	4	5	5
178FF8	3	4	4	5	4	1	5	2	6	1	1	2	2	5	3	5	2	3	3	4	3
1A4D7E	3	5	4	4	3	3	3	2	3	2	2	2	3	4	4	3	3	2	3	1	3
1A935A	3	5	3	4	4	1	6	1	3	3	1	4	3	4	3	1	4	1	2	3	5
