	Kjonn
1	2
2	2
3	1
4	2
5	1
6	1
7	1
8	1
9	2
10	1
11	2
12	2
13	2
14	1
15	1
16	1
17	2
18	1
19	2
20	1
21	1
22	2
23	2
24	1
25	2
26	2
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	2
36	1
37	2
38	1
39	2
40	1
41	2
42	2
43	2
44	1
45	1
46	2
47	1
48	2
49	1
50	1
51	1
52	1
53	2
54	1
55	1
56	2
57	1
58	2
59	2
60	2
61	2
62	1
63	2
64	1
65	2
66	2
67	1
68	1
69	1
70	1
71	2
72	1
73	1
74	2
75	2
76	1
77	2
78	2
79	2
80	1
81	1
82	2
83	2
84	2
85	1
86	1
87	1
88	1
89	1
90	1
91	2
92	1
93	1
94	1
95	2
96	2
97	1
98	2
99	1
100	1
101	1
102	2
103	1
104	2
105	2
106	2
107	1
108	2
109	2
110	2
111	1
112	1
113	2
114	1
115	2
116	1
117	1
118	2
119	1
120	2
121	2
122	1
123	2
124	2
125	1
126	1
127	2
128	1
129	2
130	2
131	1
132	2
133	2
134	2
135	1
136	2
137	2
138	1
139	1
140	1
141	1
142	2
143	1
144	2
145	1
146	2
147	1
148	1
149	1
150	1
151	1
152	1
153	2
154	1
155	2
156	1
