	Kjonn	Frankrike	Italia	Tyskland	Australia	New Z	Sor Amerika	USA	Sor Afr	Spania	Annet	Land ik viktig/vet ikke
1	2	1	1	0	0	0	0	0	0	0	0	0
2	2	0	0	0	0	0	0	0	0	0	0	1
3	1	1	1	0	1	0	0	0	0	0	0	0
4	2	1	1	0	0	0	0	0	0	0	0	0
5	1	1	0	0	0	0	1	0	0	0	0	0
6	1	1	0	0	0	0	0	0	0	0	0	0
7	1	1	1	1	0	0	0	0	0	0	0	0
8	1	1	1	0	0	0	0	1	0	0	0	0
9	2	0	0	0	0	0	0	0	0	0	0	1
10	1	0	1	0	0	0	0	0	0	0	0	0
11	2	1	0	0	0	0	0	0	0	0	0	0
12	2	0	0	0	0	0	0	0	0	0	0	1
13	2	1	1	1	1	1	0	0	0	0	0	0
14	1	0	0	0	0	0	0	0	0	0	0	1
15	1	1	0	0	1	0	0	0	1	0	0	0
16	1	0	1	0	0	0	0	0	0	0	0	0
17	2	0	0	0	0	0	0	0	0	0	0	1
18	1	1	1	0	0	0	0	0	0	1	0	0
19	2	0	1	0	0	0	0	0	0	0	0	0
20	1	1	1	0	0	0	0	0	0	0	0	0
21	1	0	0	0	1	0	1	0	0	0	0	0
22	2	1	1	0	0	0	0	0	0	0	0	0
23	2	1	1	1	0	0	0	1	0	0	0	0
24	1	1	0	1	0	0	0	0	0	0	0	0
25	2	1	0	1	0	0	0	0	0	0	0	0
26	2	1	0	0	0	0	0	0	0	0	0	0
27	1	0	0	0	0	0	0	0	0	1	0	0
28	1	1	1	0	0	0	0	1	1	0	0	0
29	1	0	0	1	0	1	0	0	0	0	0	0
30	1	0	1	0	1	0	0	0	0	0	0	0
31	1	0	1	0	0	0	0	0	0	0	0	0
32	1	1	1	0	1	0	0	0	0	0	0	0
33	1	1	1	1	1	0	0	1	0	0	0	0
34	1	1	1	1	0	0	0	0	0	1	0	0
35	2	0	1	1	0	0	0	0	0	0	0	0
36	1	1	1	1	0	0	0	0	0	0	0	0
37	2	0	1	0	1	0	1	0	0	0	0	0
38	1	1	0	0	0	0	0	0	0	0	0	0
39	2	1	1	1	1	0	0	1	0	0	0	0
40	1	0	0	0	1	0	0	0	0	0	0	0
41	2	1	1	1	0	0	1	0	0	0	0	0
42	2	0	0	0	0	0	0	0	0	0	0	1
43	2	1	1	1	0	0	0	0	0	0	0	0
