	Kjonn	Halsbrann	Syre i rod	Syre i hvit	Syre i rose	Syre i cham	Syre i sterkvin	Vet ikke
1	2	1	0	1	1	1	0	0
2	2	2	0	1	1	0	0	0
3	1	2	1	0	0	0	0	0
4	2	2	0	1	1	0	0	0
5	1	2	0	1	0	1	0	0
6	1	2	0	0	1	0	0	0
7	1	1	1	1	1	1	0	0
8	1	3	0	1	0	0	1	0
9	2	2	0	1	1	0	0	0
10	1	3	0	1	0	0	0	0
11	2	1	0	1	0	0	0	0
12	2	2	0	0	0	1	0	0
13	2	1	0	1	0	1	0	0
14	1	1	0	1	0	0	0	0
15	1	1	1	1	0	0	0	0
16	1	1	0	1	0	1	0	0
17	2	1	0	0	0	0	0	1
18	1	1	0	1	0	1	0	0
19	2	3	0	1	0	0	0	0
20	1	2	0	0	0	1	0	0
21	1	1	0	0	0	0	0	1
22	2	3	0	1	0	1	0	0
23	2	2	1	1	0	0	0	0
24	1	3	0	1	1	1	0	0
25	2	2	0	1	1	1	0	0
26	2	2	0	0	0	0	0	1
27	1	2	0	1	0	0	1	0
28	1	1	0	1	0	0	0	0
29	1	1	0	1	1	1	0	0
30	1	3	0	1	0	0	0	0
31	1	2	0	1	1	1	0	0
32	1	3	1	1	0	0	1	0
33	1	2	1	1	0	0	0	0
34	1	1	0	0	0	0	0	1
35	2	2	0	0	0	1	0	0
36	1	3	1	1	0	1	0	0
37	2	2	0	1	0	0	0	0
38	1	2	0	1	0	1	0	0
39	2	1	0	1	0	1	0	0
40	1	1	0	0	1	1	0	0
41	2	4	1	1	1	1	1	0
42	2	1	0	1	1	1	0	0
43	2	1	1	0	0	0	0	0
44	1	2	0	1	0	0	0	0
45	1	3	1	0	0	0	0	0
46	2	1	0	1	0	1	0	0
47	1	2	1	0	0	0	0	0
48	2	3	0	1	0	0	0	0
49	1	2	0	1	0	1	0	0
50	1	2	1	1	0	0	0	0
51	1	3	0	1	0	1	0	0
52	1	1	0	1	1	0	0	0
53	2	3	0	1	0	0	0	0
54	1	4	1	1	0	0	0	0
55	1	4	1	1	0	1	0	0
56	2	3	0	1	0	1	0	0
57	1	3	0	1	0	1	0	0
58	2	1	1	1	1	1	0	0
59	2	2	0	1	0	1	0	0
60	2	1	0	1	0	1	0	0
61	2	1	0	1	1	1	0	0
62	1	3	0	0	0	0	0	1
63	2	2	0	1	0	1	0	0
64	1	3	1	0	0	0	0	0
65	2	2	0	1	1	0	0	0
66	2	2	0	1	1	1	0	0
67	1	2	0	0	0	0	0	1
68	1	1	1	1	0	1	0	0
69	1	2	0	1	0	1	0	0
70	1	1	1	1	1	1	0	0
71	2	2	0	1	1	1	0	0
72	1	1	0	1	0	1	0	0
73	1	3	0	0	0	1	0	0
74	2	1	0	1	0	0	1	0
75	2	3	0	1	1	1	0	0
76	1	3	1	1	0	1	0	0
77	2	3	0	1	0	1	0	0
78	2	3	0	1	0	0	0	0
79	2	2	0	1	0	1	0	0
80	1	3	0	1	0	1	0	0
81	1	1	0	1	0	1	0	0
82	2	2	0	1	0	0	0	0
83	2	1	0	0	0	0	0	1
84	2	3	0	0	0	0	0	1
85	1	2	0	1	0	0	0	0
86	1	3	0	0	1	0	1	0
87	1	2	0	1	1	1	0	0
88	1	2	0	1	0	1	0	0
89	1	2	1	0	0	0	0	0
90	1	1	0	1	0	1	0	0
91	2	2	0	1	0	1	0	0
92	1	1	1	1	1	1	1	0
93	1	1	0	0	0	0	0	1
94	1	2	0	1	0	1	0	0
95	2	2	1	1	1	1	0	0
96	2	2	1	1	1	1	0	0
97	1	1	1	1	1	1	0	0
98	2	1	0	1	0	1	0	0
99	1	1	1	1	1	1	0	0
100	1	1	1	0	1	0	0	0
101	1	1	0	0	0	1	0	0
102	2	2	0	1	1	0	0	0
103	1	1	1	0	0	0	0	0
104	2	1	1	0	0	0	0	0
105	2	3	0	1	0	0	0	0
106	2	3	1	1	0	1	0	0
107	1	1	0	1	0	1	0	0
108	2	3	0	1	0	0	0	0
109	2	1	0	1	0	0	0	0
110	2	2	0	1	0	0	1	0
111	1	1	0	0	0	0	0	1
112	1	1	0	1	1	1	0	0
113	2	2	0	1	1	0	0	0
114	1	1	1	1	1	1	1	0
115	2	2	0	1	0	0	0	0
116	1	2	0	1	0	1	0	0
117	1	2	0	1	1	1	0	0
118	2	3	1	1	1	1	0	0
119	1	2	0	1	0	0	0	0
120	2	1	0	1	1	0	0	0
121	2	3	0	0	0	1	1	0
122	1	1	0	0	0	0	0	1
123	2	1	0	1	1	1	0	0
124	2	2	1	1	0	0	0	0
125	1	1	1	0	0	0	0	0
126	1	3	1	1	0	1	0	0
127	2	1	0	1	0	1	0	0
128	1	1	0	1	0	1	0	0
129	2	1	0	0	0	0	0	1
130	2	1	0	1	1	0	0	0
131	1	3	0	1	1	1	0	0
132	2	2	0	1	0	1	0	0
133	2	1	1	1	0	0	1	0
134	2	2	0	1	0	1	0	0
135	1	2	0	1	1	1	0	0
136	2	2	1	0	0	0	0	1
137	2	1	0	0	0	0	0	1
138	1	2	0	1	1	1	0	0
139	1	1	0	1	0	1	1	0
140	1	1	0	1	0	1	0	0
141	1	1	0	1	0	1	0	0
142	2	3	0	0	1	0	0	0
143	1	1	1	1	0	1	0	0
144	2	2	0	1	0	1	0	0
145	1	1	0	0	0	0	0	1
146	2	3	0	1	0	0	0	0
147	1	3	1	1	1	1	1	0
148	1	2	0	1	0	1	0	0
149	1	2	0	1	0	1	0	0
150	1	2	0	1	0	1	0	0
151	1	2	0	1	0	0	0	0
152	1	2	0	0	0	1	0	0
153	2	3	1	1	1	0	0	0
154	1	2	0	1	1	1	0	0
155	2	3	0	1	0	1	1	0
156	1	1	0	1	0	1	0	0
