	Gender	Age
1	0	0
2	0	0
3	0	0
4	1	1
5	1	0
6	0	0
7	1	0
8	1	1
9	1	0
10	1	1
11	1	1
12	1	1
13	1	0
14	1	1
15	1	1
16	1	1
17	0	0
18	1	0
19	1	1
20	0	1
21	0	0
22	1	0
23	1	1
24	1	1
25	0	1
26	0	1
27	1	1
28	1	0
30	1	1
31	1	1
32	1	0
33	1	0
34	1	0
35	1	1
36	1	0
37	1	0
38	1	0
39	1	1
40	1	0
41	0	0
43	1	0
45	1	0
46	1	1
47	1	1
48	1	1
49	1	1
50	0	1
51	1	0
52	1	1
53	1	0
54	0	0
55	1	1
56	1	1
57	0	1
58	0	1
59	1	1
60	1	1
61	1	1
62	0	1
63	1	1
64	1	1
65	0	1
66	0	0
67	0	1
68	1	0
69	0	1
70	0	1
71	1	1
72	0	0
73	0	1
74	0	1
75	1	0
76	0	0
77	0	1
78	1	1
79	0	0
81	0	0
82	0	1
83	1	1
84	0	0
85	0	1
86	1	1
87	0	0
89	0	1
90	0	1
91	0	0
92	0	0
93	0	0
94	1	1
95	1	1
96	1	1
97	0	0
98	1	1
99	0	1
100	1	0
101	1	1
102	1	1
103	0	1
104	1	1
105	1	1
106	1	1
107	0	1
108	1	1
109	1	1
110	0	1
111	1	0
112	1	0
113	1	0
114	1	0
115	1	1
116	1	0
117	0	0
118	1	0
119	1	0
120	1	0
121	1	1
122	1	0
123	1	0
124	1	0
125	0	0
126	1	0
127	1	1
128	1	1
129	1	0
130	1	1
131	1	1
132	0	1
133	0	1
134	1	1
135	1	1
136	1	1
137	1	1
138	0	1
139	1	1
140	1	1
141	1	1
142	1	1
143	0	1
144	0	1
145	0	0
147	0	1
148	1	1
149	1	1
150	0	1
151	1	1
152	0	1
153	1	1
154	0	1
155	1	1
156	0	1
157	0	1
158	0	1
159	1	0
