consumer	gender
1	2
2	1
3	1
4	1
5	2
6	2
7	2
8	1
9	2
10	2
11	2
12	2
13	2
14	1
15	1
16	1
17	1
18	2
19	1
20	1
21	2
22	1
23	2
24	1
25	1
26	2
27	1
28	2
29	2
30	1
31	1
32	2
33	1
34	1
35	1
36	2
37	1
38	2
39	1
40	2
41	1
42	1
43	2
44	1
45	1
46	1
47	2
48	2
49	1
50	1
51	2
52	2
53	2
54	1
55	2
56	2
57	2
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	2
66	1
67	1
68	1
69	2
70	2
71	2
72	2
73	1
74	2
75	1
76	2
77	2
78	2
79	1
80	1
81	2
82	2
83	1
84	1
85	2
86	2
87	2
88	1
89	2
90	2
91	2
92	2
93	1
94	2
95	1
96	1
97	2
98	2
99	1
100	1
