KIDEN	REPOS1	REPOS2	REPOS3	REPOS4	REPOS5
2EL	3.07	3.00	2.71	2.28	1.96
1CHA	2.96	2.82	2.38	2.28	1.68
1FON	2.86	2.93	2.56	1.96	2.08
1VAU	2.81	2.59	2.42	1.91	2.16
1DAM	3.61	3.43	3.15	2.15	2.04
2BOU	2.86	3.11	2.58	2.04	2.08
1BOI	3.21	3.22	2.96	2.12	2.04
3EL	3.12	2.85	2.50	2.20	2.18
DOM1	2.86	2.82	2.81	1.92	2.07
1TUR	2.89	3.00	2.57	1.85	1.68
4EL	3.25	3.29	2.71	1.93	1.96
PER1	3.39	3.18	2.77	2.04	1.92
2DAM	3.18	3.29	2.78	2.23	1.76
1POY	3.07	3.11	2.73	2.12	1.80
1ING	3.11	3.14	2.85	2.18	1.96
1BEN	2.93	3.18	2.85	2.00	2.04
2BEA	3.04	3.18	3.04	2.23	1.67
1ROC	3.07	2.93	2.74	2.00	1.88
2ING	2.64	2.79	2.54	1.89	1.81
T1	3.70	3.19	2.83	1.83	2.38
T2	3.71	2.93	2.52	2.04	2.67
